date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:36	2821/2821	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Dec%202025%2002:27:38%20GMT	https://saladofuturo.educacao.sp.gov.br/robots.txt		(from )
23:27:36	2821/2821	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Dec%202025%2002:27:38%20GMT	https://saladofuturo.educacao.sp.gov.br/	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/saladofuturo.educacao.sp.gov.br/index.html	(from )
23:27:37	1690/1690	---M--	200	added ('OK')	image/png	etag:%22c691c7d50a70a771af79d5bdaf05a79d%22	https://edusp-static.ip.tv/sala-do-futuro/conteudo_logo.png	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/edusp-static.ip.tv/sala-do-futuro/conteudo_logo.png	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:37	24611/24611	---MCZ	200	added ('OK')	text/css	etag:W/%226023-cOCY/knrsmTW//9NI0Dzs/aK6GE%22	https://cdn.jsdelivr.net/npm/quill@2.0.0-rc.2/dist/quill.snow.css	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/quill@2.0.0-rc.2/dist/quill.snow.css	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:37	23196/23196	---MCZ	200	added ('OK')	text/css	etag:W/%225a9c-lO28SQaT2n884EhUbtO3kNiBAkc%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:37	87/87	---MC-	404	error ('Not%20Found')	application/json	date:Tue,%2016%20Dec%202025%2002:27:31%20GMT	https://js-cdn.dynatrace.com/jstag/17cdb8fd6ce/bf10005oro/892779e3f1a828cf_complete.js	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/js-cdn.dynatrace.com/jstag/17cdb8fd6ce/bf10005oro/892779e3f1a828cf_complete.3.delayed	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:38	284764/284764	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Oct%202025%2020:59:35%20GMT	https://js-cdn.dynatrace.com/jstag/17cdb8fd6ce/ruxitagent_ICA7NQVfqrux_10323250822043923.js	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/js-cdn.dynatrace.com/jstag/17cdb8fd6ce/ruxitagent_ICA7NQVfqrux_10323250822043923.js	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:38	15655/15655	---MC-	200	added ('OK')	application/javascript	date:Tue,%2016%20Dec%202025%2002:27:40%20GMT	https://saladofuturo.educacao.sp.gov.br/js/runtime-app.cec1812c.js	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/saladofuturo.educacao.sp.gov.br/js/runtime-app.cec1812c.js	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:40	22729/22729	---MC-	200	added ('OK')	text/css	date:Tue,%2016%20Dec%202025%2002:27:41%20GMT	https://saladofuturo.educacao.sp.gov.br/css/3085.b65870be.css	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/saladofuturo.educacao.sp.gov.br/css/3085.b65870be.css	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:40	28076/28076	---M--	200	added ('OK')	font/woff2	etag:W/%226dac-NElHQ3Nv2nVxl9FvzGpuGnkxfIY%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:41	1131019/1131019	---MC-	200	added ('OK')	application/javascript	date:Tue,%2016%20Dec%202025%2002:27:41%20GMT	https://saladofuturo.educacao.sp.gov.br/js/app.4a3df0ab.js	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/saladofuturo.educacao.sp.gov.br/js/app.4a3df0ab.js	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:41	33516/33516	---M--	200	added ('OK')	font/woff	etag:W/%2282ec-ma2i3jIA55UUPWOSMsNESwgBgjU%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:41	63632/63632	---MCZ	200	added ('OK')	font/ttf	etag:W/%22f890-Hf0O5uMPihwjmZ2dll24cAtany4%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_AMS-Regular.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:41	6912/6912	---M--	200	added ('OK')	font/woff2	etag:W/%221b00-W/pJysRs0derE1E4jTfBGvWbphU%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	7716/7716	---M--	200	added ('OK')	font/woff	etag:W/%221e24-3SOsD7CsRpsGJEhep41wD2NhQgM%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	12368/12368	---MCZ	200	added ('OK')	font/ttf	etag:W/%223050-j6tziha6j7fnACoHXwNqRVpFxug%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	6908/6908	---M--	200	added ('OK')	font/woff2	etag:W/%221afc-n4B34LOKKQzZt7E2sKwpyDdegaY%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
